Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction
back pain,Acetaminophen,On Label,OTC,11 Reviews,3.5,4,3.75
back pain,Capsaicin,On Label,OTC,9 Reviews,2.33,3,2
back pain,Trolamine Salicylate,"
",OTC,9 Reviews,4,5,3.75
back pain,Capsaicin,On Label,OTC,9 Reviews,2,2,2
back pain,Acetaminophen,On Label,OTC,8 Reviews,3.67,4.67,4.33
back pain,Acetaminophen,On Label,OTC,7 Reviews,4.5,4.5,4.5
back pain,Capsaicin,On Label,OTC,7 Reviews,4.33,4.33,4.67
back pain,"ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf",On Label,OTC,6 Reviews,2.6,3,2.8
back pain,Trolamine Salicylate,"
",OTC,6 Reviews,3,3,3
back pain,Acetaminophen,On Label,OTC,6 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,6 Reviews,2,2,1
back pain,Capsaicin,On Label,OTC,6 Reviews,4.75,4.5,4
back pain,Trolamine Salicylate,"
",OTC,5 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,5 Reviews,1.5,2.5,1.5
back pain,Acetaminophen,On Label,OTC,5 Reviews,4.5,4,4.5
back pain,Capsaicin,On Label,OTC,4 Reviews,3,3.5,3
back pain,Menthol,On Label,OTC,3 Reviews,4.67,4.33,4.67
back pain,Trolamine Salicylate,"
",OTC,3 Reviews,5,5,5
back pain,Capsaicin,On Label,OTC,3 Reviews,2.67,5,2.67
back pain,Acetaminophen,On Label,OTC,3 Reviews,5,5,3
back pain,Acetaminophen,On Label,OTC,3 Reviews,5,5,5
back pain,Menthol,On Label,OTC,3 Reviews,5,5,5
back pain,"Menthol-Camphor-Antarth Cb#1, Methyl Salicylate-Menthol, Camphor-Menthol, Camphor-Methyl Salicyl-Menthol",On Label,OTC,3 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,2 Reviews,4,5,4
back pain,Acetaminophen,On Label,OTC,2 Reviews,4,5,4
back pain,Acetaminophen,On Label,OTC,2 Reviews,4,5,4
back pain,Trolamine Salicylate,"
",OTC,2 Reviews,3,4,3
back pain,Menthol,On Label,OTC,2 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,2 Reviews,4,4,4
back pain,Acetaminophen,On Label,OTC,2 Reviews,4,4,4
back pain,Acetaminophen,On Label,OTC,2 Reviews,4,4,4
back pain,Capsaicin,On Label,OTC,2 Reviews,3,5,3
back pain,Trolamine Salicylate,"
",OTC,2 Reviews,4,5,5
back pain,Menthol,On Label,OTC,2 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,2 Reviews,1,1,1
back pain,"Cpm-PPA-DM-Acetaminophen, Acetaminophen",On Label,OTC,2 Reviews,5,5,2
back pain,Acetaminophen,On Label,OTC,2 Reviews,3,4,1
back pain,Capsaicin,On Label,OTC,2 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,2 Reviews,1,1,2
back pain,Menthol,On Label,OTC,2 Reviews,5,5,5
back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,2 Reviews,5,5,5
back pain,Trolamine Salicylate,"
",OTC,2 Reviews,5,5,5
back pain,Capsaicin,On Label,OTC,2 Reviews,2.5,4.5,2.5
back pain,Acetaminophen,On Label,OTC,2 Reviews,5,1,1
back pain,"Trolamine Salicylate, Ala-Bos-Gin-Bas-Rose-Tur-Wil","
",OTC,2 Reviews,5,3,3
back pain,Menthol,On Label,OTC,2 Reviews,5,5,5
back pain,Capsaicin-Camphor-Menthol,On Label,OTC,2 Reviews,1,1,1
back pain,Acetaminophen,On Label,OTC,2 Reviews,3,4,2
back pain,Acetaminophen,On Label,OTC,2 Reviews,1.5,3,1.5
back pain,Menthol,On Label,OTC,2 Reviews,3,4.5,3
back pain,Acetaminophen,On Label,OTC,2 Reviews,2,4,3
back pain,Acetaminophen,On Label,OTC,2 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,2 Reviews,5,5,5
back pain,Menthol,On Label,OTC,2 Reviews,1,5,1
back pain,Capsaicin,On Label,OTC,1 Reviews,3,4,4
back pain,Aspirin-Acetaminophen-Caffeine,On Label,OTC,1 Reviews,5,5,4
back pain,Aspirin-Acetaminophen-Caffeine,On Label,OTC,1 Reviews,5,5,4
back pain,Acetaminophen,On Label,OTC,1 Reviews,4,2,4
back pain,Acetaminophen,On Label,OTC,1 Reviews,1,1,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,3,3,5
back pain,Menthol,On Label,OTC,1 Reviews,5,5,5
back pain,Menthol,On Label,OTC,1 Reviews,1,1,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,5,5,5
back pain,Capsaicin,On Label,OTC,1 Reviews,5,5,5
back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,1 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,1,1,1
back pain,Trolamine Salicylate,"
",OTC,1 Reviews,3,4,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,5,5,5
back pain,Menthol,On Label,OTC,1 Reviews,3,3,2
back pain,Menthol,On Label,OTC,1 Reviews,5,5,5
back pain,Trolamine Salicylate-Aloe Vera,"
",OTC,1 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,3,4,3
back pain,"Menthol, Camphor-Methyl Salicyl-Menthol",On Label,OTC,1 Reviews,5,5,5
back pain,Menthol,On Label,OTC,1 Reviews,4,5,4
back pain,Menthol,On Label,OTC,1 Reviews,3,5,4
back pain,"Menthol, Capsaicin",On Label,OTC,1 Reviews,4,5,5
back pain,"Menthol, Capsaicin",On Label,OTC,1 Reviews,4,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,2,3,4
back pain,Menthol,On Label,OTC,1 Reviews,4,5,4
back pain,Acetaminophen,On Label,OTC,1 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,5,4,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,4,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,1,5,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,1,1,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,3,3,3
back pain,Menthol,On Label,OTC,1 Reviews,4,4,5
back pain,Menthol,On Label,OTC,1 Reviews,3,3,3
back pain,Menthol,On Label,OTC,1 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,4,5,5
back pain,Capsaicin-Camphor-Menthol,On Label,OTC,1 Reviews,5,4,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,4,4,4
back pain,Capsaicin In Castor Oil,On Label,OTC,1 Reviews,3,3,4
back pain,Capsaicin,On Label,OTC,1 Reviews,5,5,5
back pain,Capsaicin,On Label,OTC,1 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,1,3,1
back pain,Capsaicin,On Label,OTC,1 Reviews,1,1,1
back pain,Menthol,On Label,OTC,1 Reviews,1,5,3
back pain,Menthol,On Label,OTC,1 Reviews,5,5,5
back pain,Capsaicin,On Label,OTC,1 Reviews,3,5,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,4,3,5
back pain,Menthol,On Label,OTC,1 Reviews,1,1,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,1,1,1
back pain,Acetaminophen,On Label,OTC,1 Reviews,5,5,5
back pain,Acetaminophen,On Label,OTC,1 Reviews,5,5,5
back pain,Menthol,On Label,OTC,1 Reviews,1,1,1
back pain,Menthol,On Label,OTC,1 Reviews,5,5,5
Bacterial Conjunctivitis,Moxifloxacin,On Label,RX,93 Reviews,3.73,3.78,3.03
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,36 Reviews,2.83,3.21,2.52
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,36 Reviews,2.83,3.21,2.52
Bacterial Conjunctivitis,Gentamicin,On Label,RX,36 Reviews,3,3.96,2.56
Bacterial Conjunctivitis,Gentamicin,On Label,RX,36 Reviews,3,3.96,2.56
Bacterial Conjunctivitis,Moxifloxacin,On Label,RX,32 Reviews,3.21,1.97,2.55
Bacterial Conjunctivitis,Erythromycin,Off Label,RX,26 Reviews,3.15,2.54,2.23
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,20 Reviews,2.93,3.29,2.71
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,20 Reviews,2.93,3.29,2.71
Bacterial Conjunctivitis,Besifloxacin,On Label,RX,19 Reviews,3.43,3,2.79
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,16 Reviews,3.87,4.07,3.53
Bacterial Conjunctivitis,Gentamicin,On Label,RX,13 Reviews,2.29,2.57,2.14
Bacterial Conjunctivitis,Gentamicin,On Label,RX,13 Reviews,2.29,2.57,2.14
Bacterial Conjunctivitis,Ofloxacin,On Label,RX,10 Reviews,3.2,4.4,2.8
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,9 Reviews,4.33,4.33,3.33
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,8 Reviews,3.25,3.75,2.75
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,8 Reviews,3.25,3.75,2.75
Bacterial Conjunctivitis,Bacitracin,Off Label,RX,8 Reviews,3.33,4.67,2
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,7 Reviews,2,4.5,4.5
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,7 Reviews,2,4.5,4.5
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,5 Reviews,3.67,3,3
Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,5 Reviews,3.5,5,3.5
Bacterial Conjunctivitis,Levofloxacin,On Label,RX,4 Reviews,3.5,4.5,3
Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,3 Reviews,1,4,1
Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,3 Reviews,1,2,1
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,2 Reviews,5,5,5
Bacterial Conjunctivitis,Azithromycin,On Label,RX,2 Reviews,3,4,2
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1 Reviews,1,1,1
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1 Reviews,5,5,5
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1 Reviews,1,1,1
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1 Reviews,1,1,1
Bacterial Conjunctivitis,Levofloxacin,On Label,RX,1 Reviews,4,5,5
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,1 Reviews,4,3,3
Bacterial Conjunctivitis,Erythromycin,Off Label,RX,1 Reviews,5,5,5
Bacterial Conjunctivitis,Ofloxacin,On Label,RX,1 Reviews,1,4,1
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,1 Reviews,1,1,1
Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,1 Reviews,1,2,1
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1 Reviews,1,5,1
Bacterial Conjunctivitis,Gentamicin-Prednisolone,On Label,RX,1 Reviews,4,5,4
Bacterial Conjunctivitis,Gentamicin-Prednisolone,On Label,RX,1 Reviews,4,5,4
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,1 Reviews,5,2,5
Bacterial Conjunctivitis,Besifloxacin,On Label,RX,1 Reviews,3,5,3
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,994 Reviews,2.52,3.01,1.84
Bacterial Urinary Tract Infection,"Ciprofloxacin Hcl, Ciprofloxacin",On Label,RX,627 Reviews,3.06,3.18,2.12
Bacterial Urinary Tract Infection,"Ciprofloxacin Hcl, Ciprofloxacin",On Label,RX,627 Reviews,3.06,3.18,2.12
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,580 Reviews,3.03,2.88,2.16
Bacterial Urinary Tract Infection,Nitrofurantoin Monohyd/M-Cryst,On Label,RX,573 Reviews,2.82,2.86,1.98
Bacterial Urinary Tract Infection,Ciprofloxacin,On Label,RX,538 Reviews,3.59,3.78,2.75
Bacterial Urinary Tract Infection,Ciprofloxacin,On Label,RX,538 Reviews,3.59,3.78,2.75
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,466 Reviews,3.54,3.72,3.11
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,466 Reviews,3.54,3.72,3.11
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,437 Reviews,3.26,3.23,2.42
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,361 Reviews,2.44,2.96,1.68
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,348 Reviews,2.93,3.47,2.24
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,285 Reviews,2.36,3.35,1.85
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,285 Reviews,2.36,3.35,1.85
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,257 Reviews,2.85,3.14,2.18
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,256 Reviews,2.95,3.2,2.14
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,239 Reviews,3.19,3.25,2.28
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,239 Reviews,3.19,3.25,2.28
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,226 Reviews,2.51,2.57,1.8
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,226 Reviews,2.51,2.57,1.8
Bacterial Urinary Tract Infection,Doxycycline Calcium,On Label,RX,204 Reviews,3.47,3.27,2.92
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,203 Reviews,3.07,3.65,2.38
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,203 Reviews,3.07,3.65,2.38
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,156 Reviews,3.15,3.06,2.33
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,156 Reviews,3.15,3.06,2.33
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,144 Reviews,3,3.72,2.62
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,140 Reviews,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,138 Reviews,3,2.83,2.38
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,138 Reviews,3,2.83,2.38
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,125 Reviews,2.36,3.78,1.69
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,125 Reviews,2.36,3.78,1.69
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,112 Reviews,3.36,3.5,2.8
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,97 Reviews,3.23,3.62,2.85
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,97 Reviews,3.23,3.62,2.85
Bacterial Urinary Tract Infection,Nitrofurantoin Monohyd/M-Cryst,On Label,RX,68 Reviews,2.85,2.45,1.6
Bacterial Urinary Tract Infection,Nitrofurantoin Macrocrystal,On Label,RX,54 Reviews,4.18,4.24,3.59
Bacterial Urinary Tract Infection,Fosfomycin Tromethamine,On Label,RX,52 Reviews,4.06,4.79,4
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,47 Reviews,2.73,3.09,1.45
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,47 Reviews,2.73,3.09,1.45
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,43 Reviews,2.9,3.5,1.7
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,43 Reviews,2.9,3.5,1.7
Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,38 Reviews,3.32,3.58,3
Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,38 Reviews,3.21,3.79,3.29
Bacterial Urinary Tract Infection,Ceftriaxone,On Label,RX,37 Reviews,3.67,2.67,3.33
Bacterial Urinary Tract Infection,"Doxycycline Calcium, Doxycycline Hyclate, Doxycycline Monohydrate",On Label,RX,32 Reviews,1.86,2,1.57
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,30 Reviews,4,3.71,2.43
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,30 Reviews,3.82,3.91,3.27
Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,27 Reviews,4.23,3.69,3.88
Bacterial Urinary Tract Infection,Cefadroxil,On Label,RX,26 Reviews,2.64,3.36,2.07
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,25 Reviews,3.36,2.45,2.73
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,23 Reviews,3.29,4.43,3
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,23 Reviews,3.22,3.22,2.56
Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,On Label,RX,22 Reviews,3.57,3.43,3
Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,18 Reviews,3.91,4.45,4
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,16 Reviews,2.5,2,1.25
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,16 Reviews,2.14,4,1.57
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,16 Reviews,2.14,4,1.57
Bacterial Urinary Tract Infection,Ampicillin,On Label,RX,15 Reviews,3,3.25,3
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,14 Reviews,2.75,3,2.25
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,13 Reviews,3.33,4,2.17
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,13 Reviews,3.33,4,2.17
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,13 Reviews,3.33,4,2.17
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,13 Reviews,2.67,2.67,2.67
Bacterial Urinary Tract Infection,Ceftriaxone,On Label,RX,12 Reviews,5,5,5
Bacterial Urinary Tract Infection,Cefadroxil,On Label,RX,11 Reviews,2.25,2.25,1.88
Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,11 Reviews,2.5,2.5,2.5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,9 Reviews,2,2.33,1.67
Bacterial Urinary Tract Infection,Ofloxacin,On Label,RX,9 Reviews,1,2,1
Bacterial Urinary Tract Infection,Ofloxacin,On Label,RX,8 Reviews,1,3,1
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,7 Reviews,4.5,4,4.5
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,7 Reviews,4.5,4,4.5
Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,6 Reviews,2.33,2,2.33
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,5 Reviews,5,4.67,4.67
Bacterial Urinary Tract Infection,Cefepime,On Label,RX,5 Reviews,3,5,2.5
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,5 Reviews,4.5,4.5,3.5
Bacterial Urinary Tract Infection,Imipenem-Cilastatin,On Label,RX,4 Reviews,5,5,5
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,4 Reviews,5,5,5
Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,4 Reviews,2.5,2.5,1
Bacterial Urinary Tract Infection,Amikacin,On Label,RX,4 Reviews,1,1,1
Bacterial Urinary Tract Infection,Levofloxacin In D5W,On Label,RX,4 Reviews,1,3,1
Bacterial Urinary Tract Infection,Sulfadiazine,On Label,RX,4 Reviews,5,4,5
Bacterial Urinary Tract Infection,"Cefepime In Dextrose,Iso-Osm",On Label,RX,4 Reviews,5,5,5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,4 Reviews,5,2,2
Bacterial Urinary Tract Infection,Ceftazidime,On Label,RX,3 Reviews,3,3,3
Bacterial Urinary Tract Infection,Acetohydroxamic Acid,On Label,RX,3 Reviews,2.5,4,2
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3 Reviews,5,4,4
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3 Reviews,5,4,4
Bacterial Urinary Tract Infection,Aztreonam,On Label,RX,3 Reviews,4,3,2
Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,3 Reviews,4.5,3,3
Bacterial Urinary Tract Infection,Demeclocycline,On Label,RX,3 Reviews,1,1,1
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3 Reviews,3,1,1
Bacterial Urinary Tract Infection,Levofloxacin In D5W,On Label,RX,2 Reviews,2,4,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2 Reviews,1,4,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2 Reviews,1,1,1
Bacterial Urinary Tract Infection,Ceftazidime,On Label,RX,2 Reviews,1,5,1
Bacterial Urinary Tract Infection,Streptomycin,On Label,RX,2 Reviews,4,3,2
Bacterial Urinary Tract Infection,Fosfomycin Tromethamine,On Label,RX,2 Reviews,5,5,5
Bacterial Urinary Tract Infection,"Ceftriaxone In Dextrose,Iso-Os",On Label,RX,2 Reviews,5,5,5
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,2 Reviews,3,5,4
Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,2 Reviews,4.5,3.5,2
Bacterial Urinary Tract Infection,Demeclocycline,On Label,RX,2 Reviews,1,5,1
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,2 Reviews,1,1.5,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1 Reviews,2,2,2
Bacterial Urinary Tract Infection,Cefaclor,Off Label,RX,1 Reviews,4,4,4
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1 Reviews,1,1,1
Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,1 Reviews,5,5,5
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,1 Reviews,2,5,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1 Reviews,1,1,1
Bacterial Urinary Tract Infection,Aztreonam,On Label,RX,1 Reviews,3,2,3
Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,Off Label,RX,1 Reviews,5,5,5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1 Reviews,4,5,4
Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,1 Reviews,1,1,1
Bacterial Urinary Tract Infection,"Ceftriaxone In Dextrose,Iso-Os",On Label,RX,1 Reviews,5,2,5
Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,1 Reviews,1,1,1
Bacterial Urinary Tract Infection,Ampicillin,On Label,RX,1 Reviews,3,2,1
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,1 Reviews,5,5,5
Bacterial Urinary Tract Infection,Imipenem-Cilastatin,On Label,RX,1 Reviews,5,3,4
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1 Reviews,3,3,2
Bacterial Urinary Tract Infection,Cefuroxime Sodium,On Label,RX,1 Reviews,5,5,5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1 Reviews,5,5,5
Bacterial Urinary Tract Infection,Cefepime,On Label,RX,1 Reviews,4,2,4
Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,Off Label,RX,1 Reviews,5,5,5
Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,1 Reviews,3,5,1
Bacterial Urinary Tract Infection,Ciprofloxacin In 5 % Dextrose,On Label,RX,1 Reviews,1,1,1
biliary calculus,Ursodiol,On Label,RX,54 Reviews,3.95,4.45,3.82
biliary calculus,Ursodiol,Off Label,RX,34 Reviews,4.17,4.52,4
biliary calculus,Ursodiol,On Label,RX,21 Reviews,4.57,4.71,4.29
biliary calculus,Ursodiol,Off Label,RX,11 Reviews,4.38,4.13,4.5
chickenpox,Valacyclovir,On Label,RX,350 Reviews,4.29,4.6,4.15
chickenpox,Valacyclovir,On Label,RX,146 Reviews,3.96,4.16,3.61
chickenpox,Acyclovir,On Label,RX,47 Reviews,4.25,3.5,3.75
chickenpox,Acyclovir Sodium,On Label,RX,3 Reviews,5,4.5,5
colorectal cancer,Fluorouracil,On Label,RX,5 Reviews,3,1,3
depression,Amitriptyline,On Label,RX,1126 Reviews,3.53,4.29,3.15
depression,Nortriptyline,On Label,RX,452 Reviews,3.34,4.01,3.02
depression,Amitriptyline,On Label,RX,409 Reviews,3.36,4.15,3.02
depression,Doxepin,On Label,RX,241 Reviews,3.71,4.52,3.4
depression,Doxepin,On Label,RX,241 Reviews,3.71,4.52,3.4
depression,Doxepin,On Label,RX,241 Reviews,3.71,4.52,3.4
depression,Fluvoxamine,Off Label,RX,139 Reviews,3.61,4.12,3.35
depression,Nortriptyline,On Label,RX,120 Reviews,3.31,3.89,3.05
depression,Imipramine Hcl,On Label,RX,103 Reviews,3.21,3.58,3.04
depression,Phenelzine,On Label,RX,88 Reviews,4.36,4.28,4.2
depression,Fluvoxamine,Off Label,RX,59 Reviews,3.83,4.07,3.59
depression,Clomipramine,Off Label,RX,58 Reviews,3.71,3.89,3.29
depression,Clomipramine,Off Label,RX,58 Reviews,3.67,4.18,3.39
depression,Fluvoxamine,Off Label,RX,53 Reviews,3.73,4.33,3.7
depression,Fluvoxamine,Off Label,RX,53 Reviews,3.73,4.33,3.7
depression,Desipramine,On Label,RX,48 Reviews,3.18,4.53,2.88
depression,Amitriptyline,On Label,RX,33 Reviews,2.8,3.9,2.4
depression,Doxepin,On Label,RX,32 Reviews,3.13,4,3
depression,Doxepin,On Label,RX,32 Reviews,3.13,4,3
depression,Desipramine,On Label,RX,23 Reviews,4,4.23,3.46
depression,Imipramine Pamoate,On Label,RX,22 Reviews,2.82,3.55,2.82
depression,Imipramine Pamoate,On Label,RX,16 Reviews,3.45,4.45,3
depression,Nortriptyline,On Label,RX,15 Reviews,3,4,2.88
depression,Protriptyline,On Label,RX,11 Reviews,3.63,4.75,3.63
depression,Protriptyline,On Label,RX,8 Reviews,3.33,4.5,3.5
depression,Maprotiline,On Label,RX,7 Reviews,3.2,3.4,3.2
